Street,Area,City,Price,Alicuota,sqms,sqm_cov,Rooms,Toilets,Garages,Url,PricePerSqm,lat,lng
Gaspar de Villarroel y Eloy Alfaro,Centro Norte,Quito,700,['1'],110,['110'],['3'],['3'],['1'],https://www.plusvalia.com/propiedades/rento-dpto-amoblado-de-3-hab-en-gaspar-de-villarroel.-57828069.html,6.363636363636363,-0.1712991,-78.47069859999999
Republica de El Salvador,La Carolina,Quito,850,['110'],55,['55'],['1'],['1'],['1'],https://www.plusvalia.com/propiedades/rento-hermosa-suite-full-amueblada-con-acabados-de-57730611.html,15.454545454545455,-0.1816018,-78.48028
COLINAS DEL PICHINCHA,El Bosque ,Quito,1300,['1'],280,['180'],['3'],['3'],['2'],https://www.plusvalia.com/propiedades/venta-o-renta-departamento-en-colinas-del-pichincha-57829083.html,4.642857142857143,-0.1688665,-78.5014759
República del Salvador y NNUU,La Carolina,Quito,650,['0'],80,['80'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/hermoso-departamento-en-renta-amoblado-republica-del-57778682.html,8.125,-0.177192,-78.479923
,Centro Norte,Quito,500,['80'],100,['100'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/alquilo-de-oportunidad-impecable-apart-de-100-m-57930648.html,5.0,-0.1775545,-78.4862109
República del Salvador y Naciones Unidas,Centro Norte,Quito,700,['1'],98,['85'],['2'],['2'],['2'],https://www.plusvalia.com/propiedades/renta-departamento-amoblado-en-republica-del-salvador-57834213.html,7.142857142857143,-0.177159,-78.47950039999999
República del Salvador y Naciones Unidas,La Carolina,Quito,660,['1'],94,['80'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/renta-departamento-amoblado-dos-dorm.-en-republica-del-57836504.html,7.0212765957446805,-0.177192,-78.479923
,Norte de Quito,Quito,710,['0'],97,['85'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/re-max-futuro-arrienda-departamento-2-dorm.-terrazas-57730241.html,7.319587628865979,-0.3122637,-78.54190489999999
República del Salvador,La Carolina,Quito,800,['1'],70,['70'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/departamento-amoblado-2-dorm.-sector-republica-del-57709642.html,11.428571428571429,-0.1800651,-78.47982309999999
Centro norte,Monteserrín,Quito,1000,['300'],200,['200'],['2'],['4'],['2'],https://www.plusvalia.com/propiedades/inmobusiness-arrienda-departamento-en-sierra-del-moral-57789642.html,5.0,-0.1591432,-78.46340040000001
Eloy Alfaro,El Batán,Quito,730,['170'],153,['153'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/rau-se-renta-hermoso-y-amplio-departamento-en-el-57800663.html,4.771241830065359,-0.1674645,-78.46902159999999
,Centro Norte,Quito,950,['0'],140,['140'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/zp-da-hermoso-departamento-amoblado-en-arriendo-57861965.html,6.785714285714286,-0.1775545,-78.4862109
Mariano Paredes,Ponceano,Quito,900,['0'],527,['231'],['0'],['3'],['2'],https://www.plusvalia.com/propiedades/en-arriendo-departamento-de-231-m-sup2--en-ponciano-57806327.html,1.7077798861480076,-0.1001616,-78.48110989999999
